 altimeter type 0=dual-frequency  999=single frequency (ie Poseidon-1),merged file cycle #,year+fraction of year (mid-cycle),number of observations,number of weighted observations,GMSL (Global Isostatic Adjustment (GIA) not applied) variation (mm) with respect to 20-year TOPEX/Jason collinear mean reference,standard deviation of GMSL (GIA not applied) variation estimate (mm),smoothed (60-day Gaussian type filter) GMSL (GIA not applied) variation (mm)  with respect to 20-year mean,GMSL (Global Isostatic Adjustment (GIA) applied) variation (mm) )  with respect to 20-year mean,standard deviation of GMSL (GIA applied) variation estimate (mm), 11 smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm) )  with respect to 20-year mean,smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm); annual and semi-annual signal removed )  with respect to 20-year mean
0,492,2006.070226,482020,347444.69,-1.37,84.98,-0.94,2.22,84.71,2.65,3.4
0,493,2006.097392,479350,344873.09,-1.55,85.9,-1.47,2.07,85.62,2.14,3.28
0,494,2006.124559,476331,343208.09,-2.85,85.76,-1.75,0.75,85.25,1.86,3.3
0,495,2006.151725,477682,343441.59,-1.52,87.76,-1.98,2.09,87.23,1.66,3.32
0,496,2006.178891,477787,343855.91,0.36,87.94,-2.25,4.02,87.41,1.4,3.24
0,497,2006.206057,481001,346265,-5.19,89.35,-2.59,-1.51,88.74,1.07,3.08
0,498,2006.233223,481869,346964.91,-2.7,89.19,-2.96,0.97,88.56,0.71,2.93
0,499,2006.260389,478745,345124.69,-2.49,86.41,-3.32,1.19,85.87,0.36,2.83
0,500,2006.287555,474526,340996.31,-3.51,87,-3.62,0.18,86.36,0.07,2.83
0,501,2006.314722,474075,340879.19,-4.98,86.64,-3.77,-1.27,86.09,-0.08,3.02
0,502,2006.341888,475375,342129.81,-5.34,84.69,-3.73,-1.65,84.27,-0.03,3.42
0,503,2006.369054,476287,342856.69,-3.02,83.91,-3.5,0.65,83.63,0.2,3.98
0,504,2006.39622,474218,342123.41,-1.47,83.9,-3.16,2.26,83.81,0.54,4.57
0,505,2006.423386,472424,341223.09,-3.99,83.79,-2.74,-0.31,83.57,0.95,5.12
0,506,2006.450552,477483,345070.91,-3.37,83.98,-2.19,0.33,83.83,1.51,5.66
0,507,2006.477718,476229,344362.81,-2.33,82.24,-1.45,1.38,82.32,2.25,6.17
0,508,2006.504885,468973,340539.59,0.2,81.95,-0.62,3.89,82.21,3.07,6.55
0,509,2006.532051,474990,346833.09,1.71,82.59,0.11,5.39,82.82,3.8,6.62
0,510,2006.559217,466158,342934.09,0.9,81.89,0.69,4.57,82.31,4.38,6.33
0,511,2006.586383,467641,343127.19,1.27,83.3,1.26,4.96,83.73,4.95,5.87
0,512,2006.613549,466053,343187,-0.92,86.05,2.09,2.76,86.41,5.78,5.56
0,513,2006.640715,461079,340310.19,1.77,86.17,3.33,5.47,86.75,7.03,5.63
0,514,2006.667882,457922,337688.69,5.4,89.09,4.83,9.13,89.9,8.54,5.99
0,515,2006.695048,458823,339475.41,8.17,88.49,6.24,11.88,89.37,9.95,6.36
0,516,2006.722214,448801,332846.81,10.45,89.18,7.25,14.16,90.14,10.97,6.51
0,517,2006.74938,460704,339878.69,6.71,89.11,7.85,10.46,90.08,11.57,6.48
0,518,2006.776546,457410,337307,6.72,90.04,8.17,10.44,91.02,11.89,6.43
0,519,2006.803712,463368,340632.59,9.74,89.15,8.31,13.49,90.12,12.03,6.48
0,520,2006.830878,204019,149808.09,9.68,90.2,8.17,13.29,91.15,11.9,6.53
0,522,2006.885211,366782,267350.81,8.47,89.49,6.68,12.3,90.04,10.45,6.14
0,523,2006.912377,475061,345326.69,3.5,87.61,5.7,7.28,88.01,9.49,5.95
0,524,2006.939543,461326,333206.5,6.56,87.89,4.78,10.31,88.34,8.59,5.9
0,525,2006.966709,479795,344599.31,3.55,86.47,3.89,7.41,86.75,7.71,5.88
0,526,2006.993875,484008,347981.31,3.16,83.7,2.98,7.01,83.95,6.81,5.8
0,527,2007.021042,480513,345550.5,2.01,82.69,2.13,5.87,82.73,5.98,5.7
0,528,2007.048208,478495,344866.69,0.77,83.7,1.28,4.61,83.54,5.13,5.47
0,529,2007.075374,478535,344773.5,-0.04,86.03,0.71,3.83,85.94,4.57,5.4
0,530,2007.10254,482193,347595.91,-0.93,86.89,0.43,2.92,86.55,4.31,5.52
0,531,2007.129706,477375,343469.59,-0.52,85.82,0.39,3.38,85.37,4.27,5.75
0,532,2007.156872,481245,346485,3.13,88.15,0.41,7.04,87.81,4.31,6
0,533,2007.184038,478752,345584.09,-0.1,90.13,0.38,3.77,89.78,4.29,6.16
0,534,2007.211205,476954,344302.69,0.02,89.94,0.3,3.93,89.54,4.22,6.27
0,535,2007.238371,477098,344197.31,-1.46,88.28,0.2,2.51,87.86,4.13,6.39
0,536,2007.265537,476659,343231,1.67,89.12,0.03,5.63,88.86,3.98,6.5
0,537,2007.292703,475841,342382.19,1.24,86.51,-0.31,5.21,86.11,3.65,6.47
0,538,2007.319869,475043,342166.31,0.25,84.98,-0.84,4.21,84.57,3.12,6.29
0,539,2007.347035,475774,342732.31,-4.66,85.19,-1.41,-0.69,84.74,2.55,6.07
0,540,2007.374202,477550,344979.91,-1.6,85.22,-1.84,2.35,85.03,2.12,5.95
0,541,2007.401368,473090,342113.69,-1.82,83.35,-2.05,2.13,83.26,1.92,5.99
0,542,2007.428534,478194,346307.81,-2.38,83.07,-2.08,1.58,82.89,1.89,6.07
0,543,2007.4557,474958,343853.09,-2.79,81.96,-1.99,1.18,81.78,1.98,6.1
0,544,2007.482866,475229,345273.59,-1.26,83.99,-1.84,2.73,84.06,2.13,5.99
0,545,2007.510032,474161,346150.19,-1.35,84.66,-1.62,2.61,84.79,2.36,5.73
0,546,2007.537198,472106,345519.69,-1.68,82.16,-1.24,2.3,82.45,2.75,5.42
0,547,2007.564365,464446,340716.09,-2.92,81.21,-0.6,1.08,81.44,3.39,5.16
0,548,2007.591531,465478,342995.91,-1.06,83.11,0.27,2.93,83.42,4.26,4.97
0,549,2007.618697,463210,340800.91,5.01,82.8,1.21,8.99,83.31,5.21,4.77
0,550,2007.645863,461334,339989.19,2.07,82.64,2.07,6.09,83.32,6.07,4.45
0,551,2007.673029,462666,341537.59,1.37,84.63,2.86,5.37,85.37,6.87,4.11
0,552,2007.700195,460166,341047.69,2.26,86.17,3.67,6.27,86.95,7.69,3.92
0,553,2007.727361,462923,342210.31,6.47,88.2,4.55,10.5,89.11,8.57,3.97
0,554,2007.754528,464384,342669.59,5.67,88.27,5.42,9.7,89.33,9.45,4.27
0,555,2007.781694,458575,337449.41,5.3,88.25,6.23,9.33,89.15,10.27,4.77
0,556,2007.80886,465652,342829.5,7.91,87.3,6.97,11.94,88.26,11.01,5.47
0,557,2007.836026,469975,344986.09,6.89,85.89,7.59,10.94,86.62,11.64,6.34
0,558,2007.863192,473297,345780.41,8.73,85.74,7.91,12.78,86.27,11.97,7.14
0,559,2007.890358,474650,345484.5,10.86,85.08,7.69,14.95,85.73,11.76,7.59
0,560,2007.917525,473374,342683,8.88,83.8,6.81,12.96,84.41,10.89,7.51
0,561,2007.944691,479715,346505.31,6.42,82.56,5.41,10.51,83,9.5,6.97
0,562,2007.971857,478694,344845.09,0.64,81.73,3.92,4.75,81.86,8.01,6.34
0,563,2007.999023,480235,346170.19,0.89,85.62,2.69,4.95,85.5,6.78,5.91
0,564,2008.026118,480821,346281.81,1.81,85.64,1.82,5.95,85.49,5.92,5.76
0,565,2008.05321,479854,346013.41,2.87,85.54,1.19,6.97,85.5,5.29,5.73
0,566,2008.080301,478949,345440.69,0.92,86.08,0.66,5,85.94,4.76,5.67
0,567,2008.107393,473657,342640.31,-2.72,89.45,0.24,1.38,89.07,4.35,5.61
0,568,2008.134485,476326,344388.59,1.06,90.89,0.01,5.18,90.45,4.12,5.64
0,569,2008.161577,477074,344915.31,-1.35,90.98,-0.05,2.77,90.36,4.07,5.79
0,570,2008.188669,478417,345949.91,0.88,91.37,-0.11,5,90.75,4.03,5.93
0,571,2008.215761,477046,344819.09,1.55,89.92,-0.34,5.69,89.37,3.82,5.9
0,572,2008.242853,475431,342529,-1.12,90.21,-0.79,3.07,89.56,3.39,5.69
0,573,2008.269945,472772,340283.81,-1.41,89.57,-1.33,2.8,88.91,2.87,5.43
0,574,2008.297037,472393,340335,-2.02,89.42,-1.69,2.21,88.97,2.53,5.41
0,575,2008.324129,472245,339858.81,-4.59,88.73,-1.57,-0.32,88.28,2.66,5.88
0,576,2008.351221,209043,151166.59,-3.6,87.57,-0.86,0.63,87.22,3.37,6.94
0,577,2008.378313,475778,342512.59,1.52,85.02,0.25,5.76,85.02,4.49,8.36
0,578,2008.405405,479722,346259.5,3.71,85.59,1.4,7.96,85.6,5.64,9.74
0,579,2008.432497,477387,345775.81,2.76,85.19,2.29,7,85.17,6.53,10.71
0,580,2008.459588,474771,345555.81,3.01,82.61,2.84,7.23,82.68,7.08,11.18
0,581,2008.48668,474275,345087.59,3.49,83.2,3.15,7.72,83.59,7.38,11.18
0,582,2008.513772,475170,346068.09,3.2,82.82,3.38,7.46,83.3,7.62,10.91
0,583,2008.540864,455535,334823.69,2.93,83.78,3.68,7.13,84.42,7.93,10.49
0,584,2008.567956,466933,342763.69,4,85.75,4.15,8.26,86.43,8.41,10.05
0,585,2008.595048,456021,335914.09,3.72,85.31,4.82,8.01,85.83,9.08,9.65
0,586,2008.62214,464058,343322.31,6.02,85.67,5.65,10.27,86.4,9.92,9.33
0,587,2008.649232,451789,334508.41,6.39,86.3,6.57,10.69,87.16,10.85,9.08
0,588,2008.676324,455085,336686.59,8.2,87.03,7.51,12.5,88.09,11.8,8.91
0,589,2008.703416,461597,340563.09,7.73,88.21,8.43,12,89.37,12.72,8.84
0,590,2008.730508,461259,339971.09,9.61,87.92,9.3,13.9,89.09,13.59,8.91
0,591,2008.7576,462183,339848.69,10.28,85.64,10.04,14.59,86.77,14.34,9.11
0,592,2008.784692,465334,342821.91,11.72,87.24,10.58,16.03,88.4,14.88,9.36
0,593,2008.811784,464363,342829.5,12.05,87.22,10.84,16.35,88.43,15.15,9.63
0,594,2008.838875,465768,342818.59,10.27,85.73,10.87,14.58,86.71,15.2,9.94
0,595,2008.865967,469660,343757.31,10.84,86.53,10.73,15.18,87.52,15.07,10.3
0,596,2008.893059,473508,345052.19,9.39,87.23,10.38,13.76,88.16,14.74,10.64
0,597,2008.920151,469751,340763.09,14.05,86.85,9.72,18.45,87.59,14.09,10.79
0,598,2008.947243,476348,344780.69,9.27,85.95,8.73,13.64,86.58,13.1,10.65
0,599,2008.974335,478144,346195.09,4.91,84.04,7.58,9.25,84.26,11.96,10.37
0,600,2009.001431,484446,348691.91,6.14,86.26,6.51,10.53,86.23,10.88,10.08
0,601,2009.028597,368297,265328.5,5.55,86.06,5.63,9.97,85.99,10.01,9.91
0,602,2009.055763,475105,343304.91,5.6,85.2,4.97,9.91,85.26,9.36,9.85
0,603,2009.082929,478423,344952.31,3.56,84.99,4.53,7.94,84.84,8.93,9.88
0,604,2009.110096,481463,347044.5,2.53,85.93,4.35,6.99,85.64,8.76,10.05
0,605,2009.137262,481081,346778.5,4.54,86.06,4.44,8.98,85.76,8.87,10.42
0,606,2009.164428,477041,344127.09,4.86,86.63,4.69,9.3,86.41,9.14,10.88
0,607,2009.191594,476608,343180.81,5.14,86.57,4.95,9.62,86.36,9.41,11.33
0,608,2009.21876,476654,343032.19,6.22,85.9,5.06,10.7,85.63,9.53,11.63
0,609,2009.245926,475373,342186.69,5.19,86.27,4.97,9.67,85.86,9.45,11.78
0,610,2009.273092,478983,345650.69,4.89,86.66,4.72,9.38,86.3,9.2,11.8
0,611,2009.300259,480783,346288.19,4.08,85.42,4.39,8.58,85.18,8.88,11.8
0,612,2009.327425,463140,333436.19,3.64,84.39,4.05,8.14,84.13,8.55,11.81
0,613,2009.354591,473448,341804.19,4.48,85.1,3.74,8.95,85.18,8.25,11.86
0,614,2009.381757,478786,344563.81,3.27,83.55,3.53,7.8,83.65,8.04,11.95
0,615,2009.408923,458633,331082.69,1.81,82.3,3.44,6.35,82.39,7.96,12.08
0,616,2009.436089,471379,340957.91,3.54,82.23,3.52,8.05,82.6,8.04,12.22
0,617,2009.463256,477223,346785.91,4.92,80.5,3.77,9.45,80.86,8.3,12.37
0,618,2009.490422,468816,341273.31,3.27,78.71,4.25,7.82,79.24,8.79,12.54
0,619,2009.517588,472709,345366.81,2.22,79.88,5.07,6.75,80.46,9.61,12.81
0,620,2009.544754,466781,342844.31,5.42,80.54,6.25,9.97,81.21,10.79,13.23
0,621,2009.57192,466050,342691.59,10.18,82.11,7.67,14.72,82.85,12.21,13.7
0,622,2009.599086,465927,344146.81,8.63,83.32,9.19,13.18,84.41,13.73,14.13
0,623,2009.626252,458260,338256.41,9.53,85.54,10.78,14.08,86.87,15.32,14.55
0,624,2009.653419,461517,340791,11.83,85.83,12.45,16.39,87.19,17,15.05
0,625,2009.680585,458154,339883,14.59,86.69,14.14,19.1,87.99,18.69,15.63
0,626,2009.707751,459223,340840.19,17.65,87.76,15.65,22.22,89.3,20.21,16.19
0,627,2009.734917,460158,340339.59,17.7,88.45,16.84,22.27,89.97,21.4,16.61
0,628,2009.762083,461292,341662.69,17.44,87.66,17.66,22.01,89.29,22.22,16.92
0,629,2009.789249,460242,339835.69,18.47,87.01,18.12,23.01,88.52,22.69,17.15
0,630,2009.816415,462022,340873.41,19.67,88.37,18.2,24.25,89.99,22.79,17.29
0,631,2009.843582,465209,342470.5,20.06,91.17,17.88,24.65,92.58,22.47,17.28
0,632,2009.870748,469884,344705.59,15.64,88.86,17.18,20.26,89.97,21.79,17.13
0,633,2009.897914,472514,344471.09,17.67,90.26,16.21,22.3,91.5,20.83,16.87
0,634,2009.92508,472804,342932.59,15.63,89.48,15.1,20.23,90.52,19.73,16.58
0,635,2009.952246,480214,345475.91,11.45,87.64,13.93,16.12,88.55,18.58,16.29
0,636,2009.979412,482129,346366.41,15.09,89.16,12.73,19.74,90.13,17.39,15.95
0,637,2010.006579,483391,347723.91,11.23,88.55,11.51,15.91,89.14,16.19,15.53
0,638,2010.033745,478403,344297.81,10.38,87.33,10.4,15.07,87.58,15.08,15.1
0,639,2010.060911,480770,346412.5,8.2,86,9.64,12.89,86.14,14.33,14.91
0,640,2010.088077,479711,345718.31,5.19,86.04,9.42,9.87,85.99,14.13,15.15
0,641,2010.115243,479643,345193.59,9.25,87.92,9.68,13.97,87.93,14.4,15.75
0,642,2010.142409,481123,346728.19,12.89,88.65,10,17.63,88.78,14.74,16.33
0,643,2010.169575,478419,344340.59,14.6,90.5,9.96,19.36,90.69,14.71,16.49
0,644,2010.196742,476611,343645.59,7.21,87.55,9.5,11.96,87.35,14.27,16.22
0,645,2010.223908,477782,344662.19,7.54,86.71,8.9,12.32,86.59,13.67,15.81
0,646,2010.251074,478256,345082.59,7.19,87.79,8.45,11.98,87.67,13.24,15.61
0,647,2010.27824,479481,345708.59,8.92,86.17,8.27,13.73,85.99,13.07,15.73
0,648,2010.305406,477940,344339.41,8.77,85.05,8.3,13.55,84.76,13.1,16.08
0,649,2010.332572,478844,345141.41,7.32,85.12,8.47,12.14,84.89,13.28,16.61
0,650,2010.359739,477225,344023.31,7.53,85.4,8.78,12.37,85.41,13.6,17.27
0,651,2010.386905,478057,345815.5,10.66,85.22,9.18,15.48,85.34,13.99,17.95
0,652,2010.414071,476474,345817.19,9.61,83.76,9.54,14.42,83.98,14.35,18.49
0,653,2010.441237,477803,346285.09,9.8,86.01,9.79,14.59,86.51,14.6,18.78
0,654,2010.468403,476176,346236.31,10.67,85.65,9.91,15.49,86.13,14.71,18.74
0,655,2010.495569,468484,343070.91,10.14,84.42,9.92,14.95,84.91,14.72,18.38
0,656,2010.522735,467926,343467.81,8.78,83.6,9.9,13.57,84.29,14.7,17.77
0,657,2010.549902,469097,345523.59,10.38,82.87,9.9,15.16,83.6,14.69,16.96
0,658,2010.577068,458536,338516.5,10.36,83.26,9.94,15.15,84,14.74,16.03
0,659,2010.604234,458901,341022.69,8.9,86.16,10.06,13.7,87.31,14.86,15.04
0,660,2010.6314,459743,341207,11.04,86.86,10.31,15.84,88.09,15.11,14.11
0,661,2010.658566,464192,344983.31,8.7,87.89,10.72,13.53,89.15,15.53,13.36
0,662,2010.685732,459393,341548.41,11.73,89.54,11.29,16.54,90.88,16.1,12.85
0,663,2010.712899,458324,340685.91,12.74,90.88,11.93,17.53,92.39,16.75,12.57
0,664,2010.740065,462648,342510.91,12.45,90.39,12.55,17.31,91.65,17.38,12.48
0,665,2010.767231,460581,341278.81,11.95,92.52,13.06,16.76,93.65,17.89,12.52
0,666,2010.794397,459965,340287,15.68,92.75,13.3,20.54,94.09,18.14,12.59
0,667,2010.821563,462458,341583.81,14.68,92.79,13.12,19.54,93.86,17.98,12.52
0,668,2010.848729,463516,341958,12.95,92.88,12.48,17.78,93.74,17.35,12.24
0,669,2010.875895,467909,344094.19,12.75,89.99,11.48,17.65,91.02,16.36,11.82
0,670,2010.903062,471418,346241.41,8.63,90.85,10.35,13.53,91.49,15.25,11.44
0,671,2010.930228,475174,347439.5,8.75,90.95,9.32,13.67,91.34,14.24,11.25
0,672,2010.957394,474991,345499.19,7.62,89.7,8.48,12.59,89.86,13.41,11.29
0,673,2010.98456,477691,346643.41,9.18,92.02,7.77,14.09,92.15,12.71,11.42
0,674,2011.011726,481606,348244.81,6.53,92.2,7.11,11.5,92.2,12.06,11.54
0,675,2011.038892,481574,347378.19,6.19,94.3,6.48,11.15,94.34,11.42,11.56
0,676,2011.066059,481744,346823.41,6.1,93.24,5.88,11.07,92.95,10.83,11.51
0,677,2011.093225,482071,348094.5,4.95,92,5.34,9.89,91.63,10.3,11.39
0,678,2011.120391,476121,343684.19,4.48,91.88,4.85,9.33,91.49,9.82,11.22
0,679,2011.147557,479307,345652.81,4.86,92.16,4.37,9.87,91.87,9.35,10.97
0,680,2011.174723,478761,345257.59,4.21,93.03,3.84,9.27,92.8,8.84,10.65
0,681,2011.201889,480075,346498.41,4.33,92.92,3.31,9.35,92.46,8.33,10.32
0,682,2011.229055,478205,344821.81,-0.29,93.86,2.87,4.75,93.13,7.91,10.09
0,683,2011.256222,476367,343001.5,3.09,93.23,2.6,8.15,92.67,7.65,10.07
0,684,2011.283388,477653,344262.5,3.56,93.29,2.48,8.6,92.82,7.54,10.25
0,685,2011.310554,478871,345485.69,2.32,92.85,2.53,7.39,92.4,7.6,10.65
0,686,2011.33772,479826,346015.91,-0.27,90.01,2.78,4.81,89.59,7.86,11.26
0,687,2011.364886,479939,345509.19,4.22,88.28,3.27,9.31,87.99,8.35,12.08
0,688,2011.392052,481483,347363.5,4.76,86.06,3.94,9.85,85.92,9.03,13.03
0,689,2011.419218,480212,346448.81,2.97,85.82,4.7,8.07,85.81,9.78,13.94
0,690,2011.446385,475744,345805.09,5.82,83.86,5.42,10.89,84.07,10.5,14.66
0,691,2011.473551,478663,348218.09,8.61,83.93,6.02,13.66,84.38,11.1,15.07
0,692,2011.500717,470762,344351.31,5.87,83.15,6.55,10.97,83.52,11.62,15.18
0,693,2011.527883,473616,346643.19,5.72,81.63,7.2,10.77,82.03,12.27,15.2
0,694,2011.555049,472450,347281,6.08,82.5,8.2,11.15,83.34,13.28,15.38
0,695,2011.582215,465730,343337.91,8.61,84.08,9.62,13.69,84.97,14.7,15.79
0,696,2011.609382,459917,339730.09,12.57,84.91,11.25,17.64,85.94,16.33,16.29
0,697,2011.636548,458528,338806.91,13.73,87.28,12.79,18.81,88.55,17.87,16.65
0,698,2011.663714,461230,340804.41,15.82,88.41,14.02,20.92,89.84,19.1,16.72
0,699,2011.69088,463982,342914.81,15.06,90.42,14.98,20.14,91.86,20.06,16.62
0,700,2011.718046,464295,344012.5,13.8,89.26,15.81,18.88,90.63,20.9,16.56
0,701,2011.745212,460432,341363.5,16.52,89.87,16.55,21.64,91.17,21.65,16.64
0,702,2011.772378,418017,308500.81,19.1,90.38,17.05,24.15,91.91,22.15,16.73
0,703,2011.799545,464839,341480.59,20.83,91.82,17.09,25.96,93.52,22.2,16.65
0,704,2011.826711,465495,342626.59,16.16,91.09,16.71,21.23,92.48,21.83,16.42
0,705,2011.853877,470639,344101.91,13.74,90.37,16.18,18.9,91.61,21.32,16.3
0,706,2011.881043,474877,346381.5,14.59,87.34,15.77,19.77,88.36,20.93,16.52
0,707,2011.908209,476863,346574.09,17.44,88.11,15.55,22.64,89.16,20.73,17.07
0,708,2011.935375,476227,345307.69,14.98,86.14,15.45,20.15,87.3,20.64,17.82
0,709,2011.962542,480483,347011.81,15.12,86.26,15.42,20.34,87.14,20.62,18.66
0,710,2011.989708,481487,348340.5,14.29,87.68,15.44,19.49,88.3,20.65,19.52
0,711,2012.016828,480707,347142.5,16.81,84.36,15.49,22.03,84.97,20.7,20.31
0,712,2012.04392,482556,347650.59,15.05,83.88,15.49,20.26,84.31,20.71,20.96
0,713,2012.071012,482041,347813.5,16.7,86,15.36,21.94,86.23,20.59,21.35
0,714,2012.098104,478068,345272.59,14.4,86.22,15.06,19.61,86.53,20.29,21.44
0,715,2012.125195,478554,344419.59,15.73,88.02,14.64,20.99,88.11,19.87,21.31
0,716,2012.152287,478860,345203,14.1,88.06,14.18,19.37,88.03,19.42,21.08
0,717,2012.179379,478946,347099.91,12.13,89.58,13.82,17.34,89.54,19.06,20.9
0,718,2012.206471,476584,344903.31,13.25,90.93,13.62,18.46,90.82,18.87,20.89
0,719,2012.233563,474451,342548.19,14.44,89.42,13.56,19.71,89.37,18.83,21.05
0,720,2012.260655,473592,341526.59,13.1,90.11,13.56,18.4,90.09,18.85,21.32
0,721,2012.287747,475051,343033.09,13.61,89.24,13.58,18.93,89.28,18.89,21.65
0,722,2012.314839,476841,344270.59,13.8,89.73,13.59,19.15,89.85,18.91,22.01
0,723,2012.341931,475528,343385.41,13.52,89.64,13.6,18.84,89.83,18.93,22.38
0,724,2012.369023,478620,344830.69,14.05,88.01,13.72,19.39,88.55,19.05,22.83
0,725,2012.396115,385039,277624.91,12,85.14,14.02,17.34,85.63,19.36,23.39
0,726,2012.423207,478130,346328.31,13.52,85.56,14.58,18.87,86.11,19.91,24.08
0,727,2012.450299,478272,346234.59,17.42,85.68,15.37,22.76,86.41,20.71,24.86
0,728,2012.477391,477592,347357.91,15,84.8,16.37,20.31,85.8,21.7,25.63
0,729,2012.504482,476338,347311.81,15.53,84.64,17.56,20.89,85.68,22.89,26.38
0,730,2012.531574,467122,343110.09,19.53,85.46,18.85,24.85,86.83,24.18,27.01
0,731,2012.558666,469483,345240.81,22.18,86.45,20.05,27.52,87.97,25.38,27.35
0,732,2012.585758,463745,341721.31,21.5,87.59,21.06,26.78,89.24,26.38,27.33
0,733,2012.61285,463028,341944.31,22.34,88.56,21.92,27.69,90.48,27.24,27.05
0,734,2012.639942,463417,343080.81,19.66,89.09,22.84,24.98,91.07,28.18,26.81
0,735,2012.667034,461938,342101,24.87,90.24,23.99,30.22,92.36,29.33,26.81
0,736,2012.694126,461907,342748.31,24.13,88.59,25.31,29.46,90.66,30.66,27.1
0,737,2012.721218,459753,341161,28.37,89.61,26.57,33.74,91.75,31.93,27.5
0,738,2012.74831,459839,339622.41,28.6,91.6,27.52,33.99,93.83,32.87,27.8
0,739,2012.775402,463565,341317.31,29.93,89.9,28,35.27,92.16,33.36,27.91
0,740,2012.802494,463127,340602.41,28.07,88.91,28.05,33.4,91.04,33.43,27.88
0,741,2012.829586,467626,344229,27.34,88.36,27.83,32.74,90.54,33.22,27.84
0,742,2012.856677,468673,344378.81,27.96,87.26,27.48,33.35,89.22,32.89,27.93
0,743,2012.883769,472957,345007.31,27.06,86.27,27.09,32.48,88.07,32.52,28.18
0,744,2012.910861,478004,346929.41,25.77,84.91,26.68,31.24,86.62,32.12,28.54
0,745,2012.937953,479243,346394.69,28.34,84.91,26.19,33.84,86.48,31.66,28.92
0,746,2012.965045,478341,344931.31,24.41,85.52,25.64,29.86,86.77,31.11,29.23
0,747,2012.992137,480556,346652.91,25.67,85.78,25.04,31.16,86.95,30.53,29.47
0,748,2013.019282,484195,348886.5,23.94,84.82,24.47,29.44,85.74,29.96,29.64
0,749,2013.046448,480765,346942.69,23.05,86.71,23.96,28.56,87.5,29.47,29.77
0,750,2013.073614,475029,342997.69,24.7,86.32,23.52,30.2,87.18,29.04,29.84
0,751,2013.10078,468987,337393.41,22.95,85.21,23.16,28.49,86.1,28.68,29.86
0,752,2013.127946,478753,345100.69,21.38,85.99,22.86,26.91,86.35,28.4,29.87
0,753,2013.155113,480658,347112.81,22.99,88.55,22.62,28.53,88.86,28.17,29.85
0,754,2013.182279,476845,345216.91,23.56,89.62,22.35,29.1,90.03,27.92,29.78
0,755,2013.209445,477810,343770.31,21.78,90.06,21.96,27.39,90.49,27.55,29.59
0,756,2013.236611,127800,91065.6,21.8,87.83,21.41,27.32,88.39,27.02,29.27
