 altimeter type 0=dual-frequency  999=single frequency (ie Poseidon-1),merged file cycle #,year+fraction of year (mid-cycle),number of observations,number of weighted observations,GMSL (Global Isostatic Adjustment (GIA) not applied) variation (mm) with respect to 20-year TOPEX/Jason collinear mean reference,standard deviation of GMSL (GIA not applied) variation estimate (mm),smoothed (60-day Gaussian type filter) GMSL (GIA not applied) variation (mm)  with respect to 20-year mean,GMSL (Global Isostatic Adjustment (GIA) applied) variation (mm) )  with respect to 20-year mean,standard deviation of GMSL (GIA applied) variation estimate (mm), 11 smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm) )  with respect to 20-year mean,smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm); annual and semi-annual signal removed )  with respect to 20-year mean
0,757,2013.263777,319572,230766.2,21.96,90.7,20.76,27.71,91.03,26.37,28.87
0,758,2013.290943,479245,344691.59,17.64,88.35,20.07,23.26,88.56,25.69,28.49
0,759,2013.318109,477818,343964,20.09,91.06,19.37,25.71,91.51,25,28.14
0,760,2013.345276,479207,345796.19,20.22,92.21,18.64,25.79,92.84,24.26,27.75
0,761,2013.372442,479795,346341.41,17.68,90.72,17.86,23.33,91.17,23.49,27.3
0,762,2013.399608,477877,344535.09,15.85,89.57,17.17,21.53,89.87,22.79,26.85
0,763,2013.426774,476725,345121.41,15.83,88.11,16.71,21.46,88.49,22.34,26.52
0,764,2013.45394,475192,346216.19,15.42,86.16,16.61,21.02,86.84,22.23,26.36
0,765,2013.481106,472195,345531.81,17.53,84.56,16.87,23.12,85.49,22.49,26.37
0,766,2013.508272,469443,344111.09,15.66,84.81,17.46,21.29,86.03,23.07,26.48
0,767,2013.535439,466805,343903,17.45,84.38,18.24,23.05,85.72,23.85,26.57
0,768,2013.562605,461351,341483.19,20.83,86.11,19.06,26.44,87.58,24.68,26.51
0,769,2013.589771,462272,341944,21.74,85.31,19.81,27.37,87.1,25.44,26.22
0,770,2013.616937,460459,342003.09,17.81,86.09,20.56,23.45,87.82,26.18,25.81
0,771,2013.644103,460966,342653.5,20.71,86.13,21.44,26.36,88.11,27.06,25.51
0,772,2013.671269,326536,242340.5,22.31,85.85,22.53,27.83,87.99,28.16,25.47
0,773,2013.698436,232596,173703.41,24.26,87.78,23.75,29.97,89.87,29.38,25.67
0,774,2013.725602,457947,340905.59,25.46,89.99,24.94,31.1,91.96,30.58,26.03
0,775,2013.752768,458345,340103,26.45,91.65,25.98,32.1,93.77,31.62,26.47
0,776,2013.779934,462750,342595.81,26.5,90.78,26.8,32.14,93.05,32.44,26.95
0,777,2013.8071,462180,342314.5,28.78,89.77,27.3,34.39,92.01,32.95,27.41
0,778,2013.834266,463747,343079.41,28.86,90.74,27.41,34.5,93.16,33.07,27.75
0,779,2013.861432,465668,344064.5,27.4,88.02,27.06,33.07,90.17,32.74,27.87
0,780,2013.888599,469982,344783.09,27.36,87.47,26.32,33.07,89.53,32.02,27.8
0,781,2013.915765,473676,346124.81,26.59,87.55,25.36,32.34,89.49,31.07,27.63
0,782,2013.942931,476189,345608.09,21.36,85.76,24.41,27.07,87.48,30.13,27.55
0,783,2013.970097,476406,345772.59,23.09,86.97,23.67,28.8,88.48,29.39,27.66
0,784,2013.997263,478664,346049.09,24.15,86.05,23.17,29.83,87.31,28.9,27.98
0,785,2014.024429,483061,347949,22.15,85.52,22.88,27.9,86.62,28.61,28.41
0,786,2014.051596,482798,347432.19,22.75,85.88,22.77,28.54,86.94,28.51,28.92
0,787,2014.078762,479559,346177.91,21.48,87.41,22.85,27.2,88.29,28.6,29.48
0,788,2014.105928,482233,347602.19,22.35,87.68,23.11,28.12,88.48,28.87,30.11
0,789,2014.133094,482671,347829.81,24.91,88.3,23.41,30.68,89.04,29.17,30.68
0,790,2014.16026,431256,312002,24.51,90.21,23.57,30.23,90.91,29.33,31.04
0,791,2014.187426,477867,344951.41,23.59,89.24,23.48,29.36,89.87,29.25,31.14
0,792,2014.214592,479499,345525.81,23.17,89.66,23.1,28.98,90.29,28.9,30.97
0,793,2014.241759,478865,345488.5,23.77,88.79,22.45,29.54,89.57,28.27,30.56
0,794,2014.268925,479944,345925.5,22.11,87.09,21.58,27.97,87.75,27.42,29.97
0,795,2014.296091,476251,342600.59,20.52,86.6,20.59,26.38,87.33,26.45,29.32
0,796,2014.323257,420393,301483.5,18.32,87.45,19.68,24.26,88.47,25.55,28.76
0,797,2014.350423,478769,345405.41,18.46,86.6,19.02,24.31,87.6,24.91,28.47
0,798,2014.377589,479187,344317.41,17.51,87.22,18.72,23.42,88.04,24.62,28.49
0,799,2014.404756,478023,344874.91,18.85,86.06,18.82,24.77,87.01,24.71,28.8
0,800,2014.431922,477754,345367.41,18.06,85.82,19.31,23.94,86.75,25.2,29.38
0,801,2014.459088,470895,342392.5,18.96,83.64,20.16,24.86,85.08,26.05,30.15
0,802,2014.486254,468899,343552.41,20.97,83.72,21.29,26.87,85.46,27.17,30.98
0,803,2014.51342,468868,344716.69,23.58,83.48,22.54,29.46,85.45,28.41,31.71
0,804,2014.540586,465127,343136.5,24.65,84.05,23.79,30.5,85.92,29.66,32.23
0,805,2014.567752,459180,340510.09,22.99,85.54,25,28.86,87.57,30.87,32.51
0,806,2014.594919,456455,340361,27.2,87.02,26.18,33.01,89.37,32.04,32.61
0,807,2014.622085,458427,340973.81,27.89,87.79,27.26,33.77,90.41,33.13,32.54
0,808,2014.649251,456821,338849.31,28.7,88.9,28.21,34.6,91.63,34.09,32.32
0,809,2014.676417,455203,338018.09,28.94,90.28,29.04,34.82,93.11,34.92,32.03
0,810,2014.703583,455496,338487.69,30.31,92.75,29.84,36.21,95.59,35.73,31.84
0,811,2014.730749,457462,340403.69,28.58,91.69,30.67,34.48,94.47,36.57,31.89
0,812,2014.757915,459238,340094.19,31.46,91.6,31.44,37.35,94.33,37.35,32.11
0,813,2014.785082,461799,340725.09,35.62,93.58,31.91,41.51,96.44,37.83,32.31
0,814,2014.812248,461771,340329.59,33.98,92.17,31.86,39.94,95.04,37.79,32.27
0,815,2014.839414,465705,342572.5,30.52,92.72,31.37,36.48,95.35,37.33,32.08
0,816,2014.86658,468775,343399.59,30.52,93.12,30.81,36.46,95.68,36.78,32.02
0,817,2014.893746,474992,345894.5,27.14,90.87,30.48,33.15,93.27,36.47,32.39
0,818,2014.920912,479333,347903.5,28.74,88.91,30.43,34.76,91.51,36.44,33.16
0,819,2014.948079,430588,312254.31,36.08,91.73,30.39,42.03,94.08,36.4,33.98
0,820,2014.975245,400953,289318.09,31.34,90.27,30.11,37.46,92.35,36.14,34.57
0,821,2015.002411,480615,347164.59,26.1,88.92,29.71,32.17,90.57,35.75,34.98
0,822,2015.029577,480256,347272.41,28.64,90.52,29.49,34.61,92.21,35.53,35.46
0,823,2015.056743,477225,344212.19,28.65,88.82,29.65,34.68,90.45,35.68,36.19
0,824,2015.083909,483777,348814.09,30.55,91.44,30.11,36.6,93.14,36.14,37.1
0,825,2015.111075,483733,348357.81,30.25,92.57,30.62,36.29,93.99,36.65,37.95
0,826,2015.138242,479571,346446.41,33.58,93.36,30.94,39.57,95.1,36.96,38.51
0,827,2015.165408,475346,342967.41,31.58,91.41,30.97,37.58,93.02,37.01,38.76
0,828,2015.192574,478192,345042.69,29.65,93.31,30.82,35.66,94.79,36.87,38.79
0,829,2015.21974,471586,339218.91,29.92,94.59,30.61,36.05,96.05,36.69,38.8
0,830,2015.246906,480463,345936,31.18,94.76,30.43,37.28,96.23,36.53,38.87
0,831,2015.274072,480858,345897.81,30.19,95.04,30.2,36.32,96.36,36.32,38.93
0,832,2015.301239,478175,343954.41,30.78,95.22,29.84,36.87,96.68,35.98,38.91
0,833,2015.328405,473249,340505.91,30.35,93.7,29.41,36.55,95.24,35.56,38.84
0,834,2015.355571,479450,344907.41,27.41,93.85,29.11,33.62,95.48,35.27,38.89
0,835,2015.382737,478025,345402.41,26.19,94.21,29.19,32.33,95.83,35.35,39.27
0,836,2015.409903,475422,343087.91,29.73,95.36,29.75,35.88,97,35.91,40.03
0,837,2015.437069,477649,345750.31,30.58,95.99,30.7,36.74,97.54,36.85,41.03
0,838,2015.464235,469790,342549.09,32.13,95.48,31.83,38.25,97.49,37.98,42.04
0,839,2015.491402,469412,344110.59,33.52,96.92,32.99,39.67,99.28,39.14,42.87
0,840,2015.518568,468089,343287.91,33.25,97.78,34.13,39.43,100.3,40.29,43.47
0,841,2015.545734,461755,340593.59,35.78,97.56,35.27,41.94,100.25,41.44,43.85
0,842,2015.5729,462545,341309.09,36.43,101.76,36.47,42.61,104.49,42.65,44.1
0,843,2015.600066,463893,342477.31,37.58,103.78,37.8,43.79,106.85,43.98,44.34
0,844,2015.627232,460938,341879.31,36.53,103.94,39.26,42.7,106.89,45.44,44.63
0,845,2015.654399,454170,337625.91,43.2,106.19,40.76,49.4,109.5,46.95,44.96
0,846,2015.681565,459534,340534.81,43.35,109.83,42.16,49.53,113.1,48.35,45.26
0,847,2015.708731,463665,343614.19,42.93,107.54,43.35,49.12,110.75,49.54,45.49
0,848,2015.735897,460182,341147.09,44.27,109.91,44.32,50.47,113.13,50.52,45.71
0,849,2015.763063,458036,340294,45.57,113.82,45.05,51.75,117.12,51.25,45.94
0,850,2015.790229,461886,340445.19,46.47,114.25,45.42,52.68,117.46,51.63,46.09
0,851,2015.817395,456934,336239.91,48.42,115.32,45.34,54.61,118.57,51.56,46.07
0,852,2015.844562,466593,341585.69,44.61,113.94,44.82,50.87,116.93,51.05,45.87
0,853,2015.871728,462852,337866.19,41.85,112.08,43.99,48.06,115.02,50.23,45.59
0,854,2015.898894,474976,345560.91,45.3,112.71,42.96,51.58,115.54,49.21,45.28
0,855,2015.92606,476638,345191.81,42.9,111.07,41.76,49.15,113.87,48.03,44.91
0,856,2015.953226,477871,344319.5,39.71,108,40.55,46,110.36,46.82,44.56
0,857,2015.980392,480681,346961.31,38.14,107.22,39.58,44.41,109.52,45.86,44.45
0,858,2016.007538,478886,344882.5,35.56,104.74,39.06,41.83,106.8,45.35,44.72
0,859,2016.03463,476925,342558.5,39.4,106.99,38.98,45.74,109.05,45.28,45.32
0,860,2016.061722,480386,345438.5,41.9,106.35,39.12,48.24,108.39,45.42,46.02
0,861,2016.088814,476861,344438.09,37.47,103.46,39.24,43.71,105.48,45.56,46.59
0,862,2016.115906,481425,347132.69,40.01,101.54,39.28,46.33,103.56,45.6,46.95
0,863,2016.142997,479171,345120.19,39.23,101.66,39.24,45.58,103.75,45.58,47.17
0,864,2016.170089,477248,343429.69,39.39,102.8,39.13,45.79,104.73,45.49,47.27
0,865,2016.197181,477533,344235.69,37.82,102.98,38.9,44.18,104.52,45.27,47.22
0,866,2016.224273,455818,329633.19,41.53,103.03,38.42,47.88,104.65,44.79,46.94
0,867,2016.251365,477397,344744.69,37.81,102.11,37.59,44.16,103.6,43.98,46.36
0,868,2016.278457,477114,343418.41,37.16,101.07,36.48,43.59,102.73,42.89,45.55
0,869,2016.305549,478169,344045,34.32,98.47,35.3,40.78,100.28,41.73,44.71
0,870,2016.332641,474459,341277.69,33.45,98.17,34.34,39.92,99.98,40.79,44.12
0,871,2016.359733,478722,345112.19,31.97,97.46,33.86,38.44,99.25,40.32,43.99
0,872,2016.386825,478612,345389.19,31.72,97.47,33.91,38.2,99.36,40.38,44.34
0,873,2016.413917,476509,344062.5,35.32,98.8,34.35,41.73,100.5,40.82,44.96
0,874,2016.441009,469658,340378.91,35.33,97.6,34.9,41.83,99.57,41.37,45.55
0,875,2016.468101,473193,343906.91,36.79,97.27,35.27,43.31,99.59,41.75,45.78
0,876,2016.495193,474528,344815.59,35.73,96.77,35.37,42.18,99.16,41.84,45.51
0,877,2016.522284,470473,343472.81,35.12,94.34,35.25,41.59,96.9,41.72,44.8
0,878,2016.549376,466985,342067.81,35.46,93.28,35.09,41.92,96.22,41.56,43.85
0,879,2016.576468,468475,342720.19,33.8,93.53,35.15,40.27,96.33,41.61,42.92
0,880,2016.60356,467588,343101.91,33.79,93.55,35.64,40.27,96.44,42.11,42.32
0,881,2016.630652,462088,340464.59,34,94.48,36.64,40.45,97.32,43.11,42.15
0,882,2016.657744,457989,338910.41,39.34,95.93,37.91,45.82,99.32,44.38,42.25
0,883,2016.684836,464620,342393.59,41.43,95.96,39.08,47.9,99.4,45.55,42.33
0,884,2016.711928,464740,342121.69,41.84,95.05,39.93,48.31,98.62,46.41,42.26
0,885,2016.73902,466099,342596.31,39.32,95.13,40.53,45.78,98.67,47.01,42.13
0,886,2016.766112,465051,341673.59,38.7,96.3,41.13,45.19,99.69,47.62,42.27
0,887,2016.793204,469591,343936.19,42.33,97.09,41.88,48.8,100.58,48.38,42.83
0,888,2016.820296,467317,340722.31,43.62,95.91,42.69,50.16,99.6,49.21,43.74
0,889,2016.847388,469138,342933.5,43.68,96.83,43.31,50.19,100.23,49.84,44.71
0,890,2016.87448,472052,343185.31,44.86,95.63,43.46,51.43,98.8,50.01,45.43
0,891,2016.901571,478495,346453.91,46.29,95.08,43,52.9,98.17,49.56,45.7
0,892,2016.928663,412712,297914.19,42.17,91.38,41.98,48.75,94.21,48.53,45.49
0,893,2016.955755,480846,346842.09,39.61,90.04,40.6,46.09,92.86,47.16,44.98
0,894,2016.982847,480430,347839.59,39.14,89.49,39.14,45.67,92.07,45.7,44.36
0,895,2017.009966,485347,349233.19,36.94,87.24,37.77,43.54,89.6,44.34,43.77
0,896,2017.037133,482567,347264.31,37.17,88.36,36.55,43.79,90.4,43.14,43.24
0,897,2017.064299,479200,344826.31,34.8,87.91,35.56,41.36,89.71,42.15,42.79
0,898,2017.091465,479859,345492.69,33.46,87.36,34.87,40.08,88.98,41.48,42.55
0,899,2017.118631,478434,344268.5,33.39,90.07,34.57,40.01,91.75,41.2,42.58
0,900,2017.145797,479643,344784.5,34.51,88.39,34.66,41.16,90.14,41.3,42.91
0,901,2017.172963,483270,347856,34.47,90.15,35.04,41.14,91.61,41.68,43.48
0,902,2017.200129,476093,343366.59,35.41,92.77,35.53,42.05,94.19,42.17,44.14
0,903,2017.227296,476915,343784.59,36.92,94.69,35.93,43.54,96.08,42.58,44.75
0,904,2017.254462,475783,343274.31,37.43,94.12,36.07,44.05,95.79,42.74,45.15
0,905,2017.281628,478451,344591.19,36.33,92.26,35.86,43.04,94.05,42.55,45.24
0,906,2017.308794,475213,341897,36.19,92.45,35.35,42.91,94.38,42.05,45.07
0,907,2017.33596,479329,344718.41,34.24,90.3,34.69,40.95,92.15,41.4,44.77
0,908,2017.363126,483975,348429.41,33.97,88.81,34.11,40.72,90.8,40.83,44.54
0,909,2017.390293,480876,346277.59,31,87.59,33.81,37.73,89.54,40.53,44.52
0,910,2017.417459,478509,345081,34.07,90.13,33.84,40.75,92.06,40.56,44.71
0,911,2017.444625,475488,343148.69,34.58,89.4,34.14,41.33,91.53,40.86,45.03
0,912,2017.471791,477892,345091.59,34.4,88.39,34.64,41.12,91.07,41.36,45.35
0,913,2017.498957,475148,344423.19,34.61,89.22,35.33,41.34,92.21,42.06,45.66
0,914,2017.526123,475941,346022.59,34.9,88.93,36.29,41.65,91.98,43.02,46
0,915,2017.553289,469873,343282.19,36.68,89.33,37.52,43.4,92.13,44.24,46.4
0,916,2017.580456,465825,342386.69,40.44,92.28,38.91,47.13,95.6,45.63,46.79
0,917,2017.607622,465504,341490.19,40.01,91.87,40.36,46.75,95.34,47.08,47.11
0,918,2017.634788,463046,341827.31,41.14,93.94,41.79,47.85,97.43,48.51,47.37
0,919,2017.661954,455695,337208.31,43.46,94.59,43.09,50.16,98.26,49.82,47.51
0,920,2017.68912,462698,342827,45.78,96.16,44.17,52.52,100,50.89,47.51
0,921,2017.716286,464464,344287.19,46.71,96.92,44.94,53.44,100.76,51.67,47.38
0,922,2017.743453,462422,342371.31,44.28,95.89,45.49,51.02,99.58,52.23,47.25
0,923,2017.770619,466066,344496.09,45.1,98.01,45.99,51.85,101.69,52.74,47.34
0,924,2017.797785,462025,341946,46.45,99.31,46.54,53.22,102.88,53.3,47.75
0,925,2017.824951,465248,342554.09,47.48,99.04,47.07,54.25,102.45,53.84,48.41
0,926,2017.852117,469213,344595,49.4,97.01,47.42,56.12,100.53,54.21,49.16
0,927,2017.879283,476076,346501.59,46.92,95.39,47.44,53.72,98.82,54.24,49.78
0,928,2017.906449,480311,347545.09,48.52,97.55,47.03,55.37,100.79,53.86,50.15
0,929,2017.933616,478472,345450.09,47.42,97.48,46.17,54.3,100.66,53.02,50.14
0,930,2017.960782,482576,348484.91,46.57,96.54,44.95,53.45,99.48,51.8,49.78
0,931,2017.987948,484683,349239,42.12,92.97,43.6,48.99,95.77,50.46,49.27
0,932,2018.015114,481895,346910.41,40.36,91.86,42.44,47.22,94.57,49.3,48.87
0,933,2018.04228,482066,347919.19,40.66,90.92,41.64,47.49,93.59,48.5,48.71
0,934,2018.069446,485989,349743.69,41.07,91.85,41.13,47.98,94.22,48,48.73
0,935,2018.096613,480385,346683,42.6,94.98,40.74,49.44,97.39,47.6,48.73
0,936,2018.123779,480363,346531.09,40.38,93.98,40.32,47.22,96.22,47.2,48.63
0,937,2018.150945,480445,346481.19,37.59,91.87,39.87,44.48,93.83,46.76,48.41
0,938,2018.178111,480826,346458.41,40.42,93.9,39.38,47.31,95.61,46.3,48.13
0,939,2018.205277,482400,347638.19,40.66,94.17,38.81,47.62,95.76,45.76,47.77
0,940,2018.232443,481709,347064.91,38.3,92.05,38.18,45.32,93.86,45.16,47.37
0,941,2018.259609,478761,343539.09,34.95,91.24,37.65,41.97,92.97,44.65,47.11
0,942,2018.286776,480288,346320.81,36.81,91.33,37.38,43.81,93.11,44.39,47.14
0,943,2018.313942,482310,346908.59,37.15,90.25,37.38,44.17,92.04,44.39,47.48
0,944,2018.341108,481813,346364.19,38.54,89.05,37.51,45.56,90.99,44.52,47.96
0,945,2018.368274,478388,343680.91,37.89,88.63,37.64,44.9,90.87,44.65,48.42
0,946,2018.39544,482674,347004.31,36.59,87.6,37.7,43.6,89.87,44.72,48.75
0,947,2018.422606,478904,345261.91,38.91,89.03,37.73,45.94,91.28,44.75,48.92
0,948,2018.449772,478816,345698.69,38.28,88.67,37.81,45.29,91.01,44.83,48.98
0,949,2018.476939,476421,345260.19,35.99,87.43,38.1,43.07,90.11,45.12,49.05
0,950,2018.504105,475124,346202.91,36.43,87.32,38.74,43.42,90.32,45.74,49.24
0,951,2018.531271,466436,341695.31,40.54,90.76,39.69,47.53,93.6,46.69,49.53
0,952,2018.558437,464722,341075,42.09,93.25,40.82,49.07,96.36,47.81,49.79
0,953,2018.585603,464708,342596.91,41.29,93.42,42.05,48.23,96.72,49.03,49.98
0,954,2018.612769,464702,343043.41,42.6,97,43.39,49.61,100.63,50.38,50.19
0,955,2018.639936,461590,342000.81,43.55,96.05,44.93,50.55,99.92,51.93,50.56
0,956,2018.667102,460503,341670.69,46.81,97.17,46.62,53.81,101.15,53.63,51.11
0,957,2018.694268,458974,340219.09,50.19,102.89,48.29,57.19,106.99,55.3,51.74
0,958,2018.721434,460646,341053,49,101.59,49.74,56.02,105.69,56.76,52.32
0,959,2018.7486,458536,339020.91,53.03,104.54,50.83,60.04,108.6,57.85,52.77
0,960,2018.775766,461025,339889.31,51.79,105.02,51.46,58.83,108.94,58.49,53.04
0,961,2018.802932,466796,341590.91,52.34,104.61,51.58,59.38,108.34,58.62,53.07
0,962,2018.830099,468421,342562.91,53.79,106.18,51.16,60.83,109.99,58.2,52.83
0,963,2018.857265,473587,344800.19,50.47,105.22,50.27,57.5,108.93,57.32,52.37
0,964,2018.884431,473070,343542.41,49.07,103.16,49.12,56.1,106.82,56.18,51.85
0,965,2018.911597,475027,343613.69,46.55,101.97,47.94,53.64,105.43,55.02,51.46
0,966,2018.938763,479229,346155.91,46.79,99.43,46.93,53.88,102.56,54.03,51.31
0,967,2018.965929,483181,347477.59,45.92,97.68,46.21,53.04,100.53,53.33,51.47
0,968,2018.993096,484627,348215.19,44.75,95.59,45.79,51.93,98.4,52.93,51.89
0,969,2019.020262,481073,346073.81,43.72,95.95,45.63,50.89,98.58,52.79,52.49
0,970,2019.047428,483025,347856.5,48.28,97.01,45.61,55.44,99.88,52.77,53.09
0,971,2019.074594,479261,345354,44.67,96.2,45.57,51.84,98.77,52.73,53.55
0,972,2019.10176,481975,347052.81,46.49,97.69,45.48,53.66,100.11,52.64,53.84
0,973,2019.128926,479412,345063.69,44.77,96.08,45.42,51.95,98.36,52.58,54.06
0,974,2019.156092,88619,64005.6,43.39,98.99,45.49,50.38,101.11,52.67,54.36
0,975,2019.183259,363687,261535,45.78,97.7,45.68,53.11,100.01,52.89,54.75
0,976,2019.210425,479961,345826,48.5,99.36,45.83,55.72,101.63,53.07,55.11
0,977,2019.237591,476929,343358.59,45.77,97.86,45.84,53.04,100.33,53.09,55.34
0,978,2019.264757,216767,156691.59,45.81,102.16,45.76,53.13,104.56,53.03,55.54
0,979,2019.291923,454907,326569,42.8,95.21,45.74,50.02,97.47,53.02,55.83
0,980,2019.319089,479538,345597.41,46.44,97.82,45.79,53.72,100.18,53.08,56.24
0,981,2019.346256,476289,343804.81,48.63,97.75,45.77,55.95,100.38,53.07,56.58
0,982,2019.373422,476985,343318.5,45.87,95.2,45.61,53.19,97.92,52.91,56.73
0,983,2019.400588,480090,344456.41,43.96,93.6,45.4,51.32,96.42,52.7,56.77
0,984,2019.427754,479820,346379.41,42.98,93.9,45.35,50.27,96.86,52.63,56.81
0,985,2019.45492,478547,345343.69,46.9,93.86,45.57,54.13,97.01,52.83,56.96
0,986,2019.482086,473862,343775.5,45.68,93.95,46.02,52.89,97.2,53.27,57.14
0,987,2019.509252,470859,342081.69,45.99,94.23,46.65,53.24,97.77,53.89,57.28
0,988,2019.536419,468192,341447.81,47.61,97.02,47.5,54.84,100.57,54.73,57.42
0,989,2019.563585,468432,342312.81,47.06,97.68,48.66,54.26,101.5,55.88,57.68
0,990,2019.590751,466657,343125.5,48.54,97.09,50.13,55.74,100.97,57.35,58.09
0,991,2019.617917,465115,342192.31,52.27,98.78,51.8,59.53,102.89,59.02,58.61
0,992,2019.645083,465582,342309,55.71,103.52,53.4,62.91,107.76,60.62,59.03
0,993,2019.672249,462219,340083.69,54.67,104.22,54.68,61.86,108.34,61.9,59.17
0,994,2019.699415,463470,341736.41,56.79,107.93,55.52,64.03,112.14,62.75,59.01
0,995,2019.726582,463237,341344.81,57.13,106.05,55.92,64.36,110.31,63.16,58.58
0,996,2019.753748,462195,339790.69,55.78,105.8,55.97,63.04,110.09,63.23,58.06
0,997,2019.780914,464113,340822.31,56.78,106.49,55.84,64.06,110.8,63.11,57.62
0,998,2019.80808,464034,340213.59,54.74,105.28,55.69,62.04,109.68,62.99,57.45
0,999,2019.835246,469942,343796.69,53.07,105.06,55.62,60.42,109.48,62.93,57.62
0,1000,2019.862412,470521,342900.5,58.26,107.31,55.52,65.5,111.65,62.84,57.99
0,1001,2019.889579,476291,345228.81,56.77,107.64,55.14,64.12,111.73,62.48,58.29
0,1002,2019.916745,477364,344693.41,55.06,106.21,54.32,62.46,110.15,61.67,58.26
0,1003,2019.943911,480803,346059.41,53.86,105.4,53.05,61.19,108.91,60.43,57.88
0,1004,2019.971077,483172,347106.69,50.94,101.96,51.5,58.35,105.42,58.9,57.2
0,1005,2019.998243,482467,346879.09,50.62,100.1,49.86,58.08,103.36,57.28,56.39
0,1006,2020.02534,479365,346289.81,47.35,98.39,48.56,54.75,101.56,56.01,55.84
0,1007,2020.052432,480291,346224.5,44.99,97.91,47.74,52.41,100.91,55.2,55.62
0,1008,2020.079524,288360,207875.91,47.87,97.45,47.29,55.29,100.23,54.76,55.66
0,1009,2020.106616,52754,37334.8,41.19,100.84,47.05,49.06,103.3,54.54,55.79
0,1010,2020.133708,476471,345036.31,47.61,98.02,46.94,54.95,100.66,54.43,55.95
0,1011,2020.1608,478893,345278.31,46.98,97.86,46.89,54.5,100.46,54.38,56.1
